,time,ticket,open,high,low,close,volume
147,2024-07-18,VPB,18.5,18.59,18.16,18.55,15901075
148,2024-07-19,VPB,18.5,18.69,18.3,18.3,16983251
149,2024-07-22,VPB,18.3,18.55,18.16,18.3,15851459
150,2024-07-23,VPB,18.35,18.4,17.72,17.91,17896447
151,2024-07-24,VPB,17.86,18.11,17.72,18.01,13371089
152,2024-07-25,VPB,17.91,18.01,17.82,17.86,10461655
153,2024-07-26,VPB,17.91,18.01,17.82,17.91,7752558
154,2024-07-29,VPB,18.01,18.11,17.91,17.91,6228638
155,2024-07-30,VPB,17.91,18.2,17.82,18.06,12802742
156,2024-07-31,VPB,18.11,18.64,18.11,18.5,35038321
157,2024-08-01,VPB,18.64,18.64,17.96,18.06,15652596
158,2024-08-02,VPB,18.01,18.25,17.86,18.25,14030750
159,2024-08-05,VPB,17.91,18.11,17.47,17.67,28587606
160,2024-08-06,VPB,17.86,18.01,17.62,17.86,13182712
161,2024-08-07,VPB,17.91,17.91,17.52,17.52,13542137
162,2024-08-08,VPB,17.43,17.52,17.04,17.38,21951774
163,2024-08-09,VPB,17.38,17.62,17.33,17.52,10707088
164,2024-08-12,VPB,17.52,17.67,17.33,17.67,12639608
165,2024-08-13,VPB,17.62,17.72,17.47,17.67,10645632
166,2024-08-14,VPB,17.67,17.72,17.52,17.52,8235186
167,2024-08-15,VPB,17.52,17.62,17.47,17.52,7539412
168,2024-08-16,VPB,17.57,17.96,17.52,17.91,23595566
169,2024-08-19,VPB,17.91,18.11,17.91,17.96,12500067
170,2024-08-20,VPB,17.96,18.16,17.91,18.11,18248565
171,2024-08-21,VPB,18.01,18.35,17.96,18.25,33809370
172,2024-08-22,VPB,18.25,18.35,18.11,18.25,13072468
173,2024-08-23,VPB,18.3,18.5,18.2,18.25,23792929
174,2024-08-26,VPB,18.3,18.79,18.3,18.5,39617721
175,2024-08-27,VPB,18.59,18.64,18.45,18.5,15400837
176,2024-08-28,VPB,18.5,18.59,18.4,18.45,13774422
177,2024-08-29,VPB,18.45,18.84,18.4,18.45,23613933
178,2024-08-30,VPB,18.59,18.59,18.45,18.45,11971540
179,2024-09-04,VPB,18.3,18.3,18.01,18.01,23332600
180,2024-09-05,VPB,18.06,18.06,17.82,17.82,15908777
181,2024-09-06,VPB,17.82,17.96,17.72,17.96,15019324
182,2024-09-09,VPB,17.91,17.96,17.77,17.86,15695257
183,2024-09-10,VPB,17.91,17.96,17.62,17.67,20588711
184,2024-09-11,VPB,17.62,17.82,17.57,17.77,11714730
185,2024-09-12,VPB,17.77,18.11,17.77,18.01,22643063
186,2024-09-13,VPB,18.01,18.06,17.82,17.96,9337934
187,2024-09-16,VPB,17.91,18.06,17.77,17.86,8951273
188,2024-09-17,VPB,17.86,18.16,17.82,18.16,10214184
189,2024-09-18,VPB,18.16,18.3,18.01,18.16,22135608
190,2024-09-19,VPB,18.16,18.3,18.16,18.25,17468884
191,2024-09-20,VPB,18.3,18.59,18.3,18.45,52251745
192,2024-09-23,VPB,18.5,18.69,18.4,18.5,29078562
193,2024-09-24,VPB,18.5,18.69,18.45,18.69,37617818
194,2024-09-25,VPB,18.79,19.03,18.69,18.93,45920392
195,2024-09-26,VPB,18.98,19.32,18.84,19.08,55131403
196,2024-09-27,VPB,19.18,19.62,19.08,19.23,62872404
197,2024-09-30,VPB,19.18,19.62,19.13,19.57,26731610
198,2024-10-01,VPB,19.57,19.76,19.32,19.37,33059627
199,2024-10-02,VPB,19.28,19.37,19.08,19.18,37585719
200,2024-10-03,VPB,19.28,19.91,19.28,19.47,49875787
201,2024-10-04,VPB,19.47,19.91,19.42,19.47,34252969
202,2024-10-07,VPB,19.57,19.62,19.18,19.47,25936314
203,2024-10-08,VPB,19.47,19.62,19.32,19.57,27926403
204,2024-10-09,VPB,19.47,19.76,19.47,19.71,49597660
205,2024-10-10,VPB,19.81,20.15,19.76,20.01,45244350
206,2024-10-11,VPB,19.96,20.15,19.81,20.15,22153976
207,2024-10-14,VPB,20.25,20.25,19.86,20.1,22650112
208,2024-10-15,VPB,19.96,20.49,19.96,20.3,44785679
209,2024-10-16,VPB,20.25,20.35,20.1,20.3,17845699
210,2024-10-17,VPB,20.3,20.39,20.15,20.35,22775547
211,2024-10-18,VPB,20.3,20.39,20.01,20.01,24410883
212,2024-10-21,VPB,20.01,20.2,19.86,20.1,18197546
213,2024-10-22,VPB,20.05,20.1,19.76,20.05,22326189
214,2024-10-23,VPB,19.96,20.01,19.76,19.91,15972349
215,2024-10-24,VPB,19.86,19.91,19.47,19.47,26052685
216,2024-10-25,VPB,19.57,19.66,19.47,19.57,16942546
217,2024-10-28,VPB,19.47,19.57,19.37,19.57,11245157
218,2024-10-29,VPB,19.66,19.76,19.62,19.71,14157618
219,2024-10-30,VPB,19.71,19.81,19.62,19.71,10000088
220,2024-10-31,VPB,19.71,19.91,19.62,19.91,13917060
221,2024-11-01,VPB,19.86,19.86,19.52,19.62,16606220
222,2024-11-04,VPB,19.62,19.66,19.08,19.18,30572348
223,2024-11-05,VPB,19.03,19.28,19.03,19.18,9958296
224,2024-11-06,VPB,19.23,19.42,19.18,19.32,16237665
225,2024-11-07,VPB,19.37,19.42,19.08,19.18,13399083
226,2024-11-08,VPB,19.28,19.28,18.79,18.98,24428210
227,2024-11-11,VPB,18.93,18.93,18.45,18.69,28134592
228,2024-11-12,VPB,18.74,18.74,18.4,18.59,15117899
229,2024-11-13,VPB,18.45,18.84,18.25,18.84,20301061
230,2024-11-14,VPB,18.59,18.69,18.3,18.5,12408000
231,2024-11-15,VPB,18.35,18.45,18.2,18.2,16703361
232,2024-11-18,VPB,18.11,18.4,17.96,18.2,19560943
233,2024-11-19,VPB,18.25,18.3,18.01,18.01,11168595
234,2024-11-20,VPB,17.91,18.4,17.91,18.2,17684832
235,2024-11-21,VPB,18.2,18.69,18.11,18.69,27857572
236,2024-11-22,VPB,18.69,18.79,18.55,18.55,18063133
237,2024-11-25,VPB,18.55,18.69,18.55,18.55,7651978
238,2024-11-26,VPB,18.55,18.89,18.55,18.55,18362268
239,2024-11-27,VPB,18.55,18.69,18.5,18.55,6904586
240,2024-11-28,VPB,18.69,18.84,18.55,18.55,11980090
241,2024-11-29,VPB,18.64,18.69,18.5,18.64,6010268
242,2024-12-02,VPB,18.79,18.79,18.59,18.69,6326543
243,2024-12-03,VPB,18.64,18.69,18.5,18.69,10876352
244,2024-12-04,VPB,18.55,18.64,18.45,18.5,8460366
245,2024-12-05,VPB,18.5,18.98,18.3,18.98,31492330
246,2024-12-06,VPB,18.98,18.98,18.79,18.84,11635279
247,2024-12-09,VPB,18.74,19.03,18.69,18.89,19957358
248,2024-12-10,VPB,18.89,18.93,18.69,18.74,7244261
249,2024-12-11,VPB,18.74,18.79,18.55,18.74,13264710
250,2024-12-12,VPB,18.74,19.03,18.64,18.79,23037081
251,2024-12-13,VPB,18.69,18.79,18.59,18.64,7752312
252,2024-12-16,VPB,18.64,18.69,18.5,18.59,6793885
253,2024-12-17,VPB,18.59,18.64,18.45,18.45,8188602
254,2024-12-18,VPB,18.5,18.59,18.45,18.5,4844985
255,2024-12-19,VPB,18.45,18.45,18.11,18.3,21117631
256,2024-12-20,VPB,18.3,18.4,18.16,18.4,6640453
257,2024-12-23,VPB,18.45,18.64,18.4,18.45,7740196
258,2024-12-24,VPB,18.45,18.5,18.25,18.45,5920224
259,2024-12-25,VPB,18.45,18.79,18.3,18.69,14789924
260,2024-12-26,VPB,18.74,18.79,18.55,18.74,8214471
261,2024-12-27,VPB,18.69,18.84,18.59,18.74,16563326
262,2024-12-30,VPB,18.69,18.74,18.59,18.74,6680866
263,2024-12-31,VPB,18.74,18.74,18.55,18.69,8165593
